yearID,teamID,lgID,playerID,G_all,GS,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr
1871,NY2,NA,patteda01,32,,32,32,0,0,0,2,0,0,9,0,22,31,,,
1871,NY2,NA,pearcdi01,33,,33,33,0,0,0,0,0,33,0,0,0,0,,,
1871,NY2,NA,smithch01,14,,14,14,0,0,0,3,12,0,0,0,0,0,,,
1871,NY2,NA,startjo01,33,,33,33,0,0,33,0,0,0,0,0,0,0,,,
1871,NY2,NA,woltery01,32,,32,32,32,0,0,0,1,0,0,0,0,0,,,
1871,PH1,NA,bechtge01,20,,20,20,3,0,0,0,3,0,1,3,11,15,,,
1871,PH1,NA,berkena01,1,,1,1,0,0,0,0,0,0,0,0,1,1,,,
1871,PH1,NA,berryto01,1,,1,1,0,0,0,0,0,0,0,0,1,1,,,
1871,PH1,NA,cuthbne01,28,,28,28,0,1,0,0,0,0,27,0,0,27,,,
1871,PH1,NA,fislewe01,28,,28,28,0,0,26,2,0,0,0,0,0,0,,,
1871,PH1,NA,heubege01,17,,17,17,0,0,1,0,0,0,0,0,16,16,,,
1871,PH1,NA,malonfe01,27,,27,27,0,27,0,0,0,0,0,0,0,0,,,
1871,PH1,NA,mcbridi01,25,,25,25,25,0,0,0,0,0,0,0,0,0,,,
1871,PH1,NA,meyerle01,26,,26,26,1,0,0,0,26,0,0,0,0,0,,,
1871,PH1,NA,prattto01,1,,1,1,0,0,1,0,0,0,0,0,0,0,,,
1871,PH1,NA,radcljo01,28,,28,28,0,0,0,0,0,28,0,0,0,0,,,
1871,PH1,NA,reachal01,26,,26,26,0,0,0,26,0,0,0,0,0,0,,,
1871,PH1,NA,senseco01,25,,25,25,0,0,0,0,0,0,0,25,0,25,,,
1871,RC1,NA,addybo01,25,,25,25,0,0,0,22,0,3,0,0,0,0,,,
1871,RC1,NA,ansonca01,25,,25,25,0,5,1,2,20,0,1,0,0,1,,,
1871,RC1,NA,barkeal01,1,,1,1,0,0,0,0,0,0,1,0,0,1,,,
1871,RC1,NA,birdge01,25,,25,25,0,0,0,0,0,0,1,25,0,25,,,
1871,RC1,NA,fishech01,25,,25,25,24,0,2,1,0,0,0,0,0,0,,,
1871,RC1,NA,fulmech01,16,,16,16,0,0,1,0,0,16,0,0,0,0,,,
1871,RC1,NA,hamra01,25,,25,25,0,0,0,0,7,2,19,0,0,19,,,
1871,RC1,NA,hastisc01,25,,25,25,0,23,1,2,0,0,2,1,0,2,,,
1871,RC1,NA,mackde01,25,,25,25,3,0,24,0,0,1,1,0,0,1,,,
1871,RC1,NA,sagerpo01,8,,8,8,0,0,0,0,0,4,4,0,0,4,,,
